vessel_id,block,length,width,height,weight,location
SN2616,S14GS,22.0,11.0,3.1,0.0,오비
SN2616,S14GP,22.0,11.0,3.1,0.0,HSG성동
SN2463,S390S,20.0,11.0,5.9,48.0,오비
SN2463,S390P,20.0,11.0,5.9,48.0,덕곡1
SN2654,H110S,16.0,11.0,4.0,33.0,한내
SN2608,G140S,16.0,11.0,4.3,24.0,HSG성동
SN2608,F530C,21.0,11.0,3.3,24.0,HSG성동
SN2599,E370C,20.0,11.0,3.7,22.0,한내
SN2464,A310P,27.0,17.0,6.8,92.0,HSG성동
SN2661,E110S,21.0,14.0,8.8,108.0,HSG성동
SN2599,E380C,20.0,11.0,1.3,8.0,한내
SN2637,M900S,11.0,6.0,3.5,1.0,봉암9
SN2637,M900P,11.0,6.0,3.5,1.0,봉암9
SN2608,D730S,16.0,15.0,6.7,31.0,오비
SN2661,E41XS,12.0,11.0,4.8,18.0,오비3
SN2634,F440C,17.0,17.0,8.1,35.0,오비
SN2616,E510S,14.0,12.0,7.1,31.0,오비
SN2616,E510P,15.0,14.0,7.1,38.0,한내
SN2599,E260C,19.0,17.0,6.6,64.0,덕곡1
SN2463,W820P,19.0,11.0,2.3,18.0,봉암9
SN2458,F810S,16.0,11.0,3.8,31.0,봉암9
SN2458,F810P,16.0,11.0,3.8,31.0,봉암9
SN2607,Y900P,11.0,9.0,2.0,21.0,신한내
SN2634,F210S,15.0,11.0,4.5,8.0,한내
SN2612,Y710C,11.0,0.0,0.0,6.0,봉암9
SN2591,S080S,15.0,12.0,5.6,16.0,한내
SN2464,F510S,21.0,17.0,8.0,41.0,HSG성동
